4	 1:1.29555351464296	 2:1.00801223843533	 3:-.843995532216004	 4:-.80470640575722	 5:4.41052114646198E-03	 6:.664852841331333	 7:.593962222236474	 8:1.34132986064074	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.786819328954803	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.554411343392506	 2:-.29339837487599	 3:-2.89623266253307	 4:-.511950605907694	 5:-2.47789283766633	 6:.482144492918339	 7:-1.92276067723479	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:.198813764433104	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.739407829196054	 2:-.665229978679225	 3:.881073359934577	 4:-1.11372641670949	 5:.713640052235832	 6:.664852841331333	 7:-.994607551188651	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
4	 1:-.739407829196054	 2:-.665229978679225	 3:-.918351949981116	 4:-1.29263273883976	 5:4.41052114646198E-03	 6:.664852841331333	 7:-.387738199543097	 8:.168497678378657	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.582116923064567
14	 1:-.554411343392506	 2:-.29339837487599	 3:-.977837084193205	 4:.041032571585854	 5:-1.59135592380462	 6:-1.52764733962459	 7:.915245996637062	 8:-.796251374772415	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:.213312128745109	 15:-.105304810091389	 16:-.696126162042131
17	 1:1.66554648625006	 2:1.37984384223856	 3:1.04465747901782	 4:-1.19504747222325	 5:.890947435008175	 6:-.614105597559625	 7:.344074842147129	 8:1.17108002773173	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:.849759420008691	 15:-.105304810091389	 16:-.240089206131876
19	 1:-.739407829196054	 2:-.851145780580843	 3:.301093301366709	 4:1.17952734877845	 5:4.41052114646198E-03	 6:-.614105597559625	 7:.593962222236474	 8:.962996898620718	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:1.58405861750914
12	 1:-.924404314999601	 2:-.107482572974372	 3:-1.9147279480336	 4:.138617838202362	 5:1.60017696609754	 6:-1.52764733962459	 7:-.548380086743391	 8:-.796251374772415	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
7	 1:-.739407829196054	 2:-.29339837487599	 3:-.903480666428093	 4:-1.19504747222325	 5:.713640052235832	 6:1.5783945833963	 7:-.012907129409079	 8:1.36024650874174	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.739407829196054	 2:-.665229978679225	 3:1.00004362835875	 4:1.55360420414173	 5:.713640052235832	 6:.116727796092351	 7:-.994607551188651	 8:.319830863186669	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.554411343392506	 2:-.29339837487599	 3:-.843995532216004	 4:-1.1787832611205	 5:1.60017696609754	 6:1.5783945833963	 7:1.07588788383735	 8:1.09541343532772	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:.758838378399608	 15:-.105304810091389	 16:-1.03815387897482
16	 1:-.369414857588959	 2:-.107482572974372	 3:.821588225722488	 4:-.105345328338908	 5:.713640052235832	 6:.664852841331333	 7:-.994607551188651	 8:1.68182952645877	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
5	 1:-.739407829196054	 2:-.851145780580843	 3:1.04465747901782	 4:-1.2438401055315	 5:.713640052235832	 6:1.39568623498331	 7:-.994607551188651	 8:.717080473307699	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
12	 1:-.739407829196054	 2:-.851145780580843	 3:.315964584919731	 4:1.66745368186099	 5:-1.76866330657696	 6:-.979522294385613	 7:-.51268188958777	 8:-1.42050076210546	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:1.35604013955401
14	 1:-.184418371785411	 2:-.29339837487599	 3:-.962965800640182	 4:-1.16251905001775	 5:-1.41404854103227	 6:.664852841331333	 7:-1.31589132558923	 8:-.834084670974418	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:2.26811405137452
7	 1:.185574599821683	 2:7.84332289272449E-02	 3:1.17849903099502	 4:.252467315921622	 5:.713640052235832	 6:1.5783945833963	 7:-.994607551188651	 8:1.09541343532772	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:.758838378399608	 15:-.105304810091389	 16:-1.03815387897482
1	 1:-.739407829196054	 2:-1.03706158248246	 3:-1.03732221840529	 4:.707865226798663	 5:-1.41404854103227	 6:-1.89306403645058	 7:-.137850819453751	 8:-.512501653257394	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
7	 1:-.554411343392506	 2:-.479314176777608	 3:.806716942169466	 4:-1.1787832611205	 5:.890947435008175	 6:.482144492918339	 7:-.97675845261084	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
5	 1:-.369414857588959	 2:-.665229978679225	 3:1.58002368692662	 4:.041032571585854	 5:-1.59135592380462	 6:-1.1622306427986	 7:-.155699918031562	 8:1.43591310114575	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.468107684087004
3	 1:-.184418371785411	 2:-.29339837487599	 3:-.888609382875071	 4:-1.2438401055315	 5:.713640052235832	 6:-.614105597559625	 7:1.04018968668173	 8:.527913992297685	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:1.92608633444183
2	 1:.370571085625231	 2:.264349030828862	 3:.806716942169466	 4:-1.04866957229849	 5:.53633266946349	 6:.664852841331333	 7:-1.01245664976646	 8:.168497678378657	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:2.15410481239695
19	 1:-.924404314999601	 2:-1.40889318628569	 3:-2.85161881187401	 4:1.30964103760046	 5:.713640052235832	 6:.664852841331333	 7:-.994607551188651	 8:-3.95854507323581E-02	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.557975466711068
4	 1:-.739407829196054	 2:-.107482572974372	 3:1.17849903099502	 4:-1.48780327207278	 5:.53633266946349	 6:-.43139724914663	 7:-1.01245664976646	 8:-.436835060853388	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.924144639997258
2	 1:-.554411343392506	 2:7.84332289272449E-02	 3:1.05952876257084	 4:.138617838202362	 5:-.350204244398223	 6:.482144492918339	 7:-1.7799678886123	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.696126162042131
2	 1:-.739407829196054	 2:-.665229978679225	 3:-.933223233534138	 4:.90303576003168	 5:4.41052114646198E-03	 6:-6.59805523206427E-02	 7:.593962222236474	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
2	 1:2.5905289152678	 2:2.49533865364827	 3:1.17849903099502	 4:1.14699892657295	 5:-1.41404854103227	 6:-6.59805523206427E-02	 7:.933095095214872	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-1.03815387897482
7	 1:5.78114018136053E-04	 2:-.29339837487599	 3:1.52053855271453	 4:.171146260407865	 5:.713640052235832	 6:.664852841331333	 7:1.04018968668173	 8:.168497678378657	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:4.03933209815156	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:.557975466711068
7	 1:5.78114018136053E-04	 2:-.107482572974372	 3:4.82814809653308E-02	 4:-.251723228263671	 5:.713640052235832	 6:-1.52764733962459	 7:.165583856369024	 8:7.39144378736505E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
4	 1:-.739407829196054	 2:-.851145780580843	 3:-.754767830897871	 4:1.35843367090872	 5:.53633266946349	 6:-2.07577238486357	 7:-1.01245664976646	 8:1.37916315684274	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.126079967154313
7	 1:.185574599821683	 2:7.84332289272449E-02	 3:1.58002368692662	 4:-1.16251905001775	 5:.713640052235832	 6:-.979522294385613	 7:-.209247213764993	 8:-1.42050076210546	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-1.03815387897482
17	 1:-.184418371785411	 2:-.479314176777608	 3:.762103091510399	 4:-.511950605907694	 5:.53633266946349	 6:.664852841331333	 7:-1.01245664976646	 8:.168497678378657	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:.576996295181442	 15:-.105304810091389	 16:.329956988755941
2	 1:.740564057232326	 2:.636180634632098	 3:-.442470876284403	 4:-.983612727887486	 5:4.41052114646198E-03	 6:-.43139724914663	 7:.593962222236474	 8:-9.63353950353624E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:.758838378399608	 15:-.105304810091389	 16:-1.03815387897482
5	 1:-.739407829196054	 2:-.665229978679225	 3:.315964584919731	 4:.707865226798663	 5:-1.41404854103227	 6:.482144492918339	 7:-.798267466832736	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
4	 1:-.369414857588959	 2:-1.03706158248246	 3:.762103091510399	 4:7.35609937913569E-02	 5:.181717903918804	 6:.664852841331333	 7:.308376644991508	 8:1.79532941506478	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:.122391087136026	 15:-.105304810091389	 16:1.6980678564867
3	 1:-.369414857588959	 2:7.84332289272449E-02	 3:-.293758040754181	 4:-.642064294729706	 5:-1.05943377548759	 6:.847561189744327	 7:.272678447835887	 8:.357664159388672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:-.332214120909388	 15:-.105304810091389	 16:-1.03815387897482
17	 1:5.78114018136053E-04	 2:-.29339837487599	 3:-1.12036532467582E-02	 4:.138617838202362	 5:.53633266946349	 6:-1.71035568803758	 7:.647509517969905	 8:.225247622681662	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.696126162042131
7	 1:1.29555351464296	 2:1.56575964414018	 3:-1.03732221840529	 4:.984356815545437	 5:-1.05943377548759	 6:-1.52764733962459	 7:-1.85136428292355	 8:-.871917967176421	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-2.67454922293695	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-1.03815387897482
4	 1:.185574599821683	 2:.636180634632098	 3:-.977837084193205	 4:-1.06493378340124	 5:.53633266946349	 6:.482144492918339	 7:-1.01245664976646	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:-.69589828734572	 15:-.105304810091389	 16:1.35604013955401
15	 1:-.184418371785411	 2:-.479314176777608	 3:-1.15629248682947	 4:-.511950605907694	 5:-1.41404854103227	 6:-1.71035568803758	 7:-.137850819453751	 8:.452247399893679	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:.557975466711068
2	 1:-.739407829196054	 2:-.665229978679225	 3:1.32721186652524	 4:-.902291672373729	 5:.713640052235832	 6:.664852841331333	 7:-.316341805231855	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:1.58405861750914
9	 1:1.11055702883942	 2:1.37984384223856	 3:-.561441144708581	 4:-.902291672373729	 5:.713640052235832	 6:-.979522294385613	 7:1.34362436250451	 8:1.30349656443874	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-1.03815387897482
18	 1:5.78114018136053E-04	 2:7.84332289272449E-02	 3:.434934853343909	 4:-.267987439366423	 5:-.350204244398223	 6:-6.59805523206427E-02	 7:-1.10170214265551	 8:-1.70425048362048	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.240089206131876
2	 1:.925560543035873	 2:1.37984384223856	 3:-.784510398003915	 4:-1.03240536119574	 5:-1.41404854103227	 6:-6.59805523206427E-02	 7:-.798267466832736	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.240089206131876
5	 1:-.739407829196054	 2:-.851145780580843	 3:-1.20090633748853	 4:1.1957915598812	 5:1.4228695833252	 6:-1.52764733962459	 7:-1.61932600141201	 8:1.13324673152973	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
5	 1:-.739407829196054	 2:-.851145780580843	 3:-.888609382875071	 4:-1.09746220560674	 5:.53633266946349	 6:-1.52764733962459	 7:-.334190903809666	 8:1.28457991633774	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.696126162042131
14	 1:-.554411343392506	 2:-.665229978679225	 3:-.858866815769027	 4:-.251723228263671	 5:-1.9459706893493	 6:.664852841331333	 7:1.37932255966013	 8:-3.95854507323581E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.924144639997258
17	 1:-.739407829196054	 2:-.851145780580843	 3:-.918351949981116	 4:.252467315921622	 5:-1.41404854103227	 6:.482144492918339	 7:-.637625579632443	 8:.641413880903693	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.369414857588959	 2:-.479314176777608	 3:-.962965800640182	 4:-1.30889694994251	 5:-1.59135592380462	 6:.847561189744327	 7:-1.86921338150136	 8:-.947584559580427	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.696126162042131
17	 1:1.66554648625006	 2:1.37984384223856	 3:-.858866815769027	 4:-.820970616859972	 5:-.882126392715251	 6:.664852841331333	 7:-1.44083501563391	 8:-.682751486166407	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.739407829196054	 2:-.665229978679225	 3:.330835868472753	 4:-1.19504747222325	 5:-1.41404854103227	 6:.482144492918339	 7:-.137850819453751	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.696126162042131
17	 1:-.369414857588959	 2:1.00801223843533	 3:-.725025263791826	 4:1.58613262634724	 5:-2.12327807212165	 6:-1.1622306427986	 7:5.84892649021625E-02	 8:.508997344196683	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-1.05958245378205	 15:-.105304810091389	 16:-.240089206131876
1	 1:-.924404314999601	 2:-.107482572974372	 3:-2.5839357079196	 4:.594015749079402	 5:-1.41404854103227	 6:.664852841331333	 7:-1.45868411421172	 8:-.342251820348381	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
4	 1:-.184418371785411	 2:.264349030828862	 3:1.19337031454804	 4:.90303576003168	 5:.713640052235832	 6:.482144492918339	 7:-.994607551188651	 8:.641413880903693	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.126079967154313
3	 1:.740564057232326	 2:.45026483273048	 3:-.35324317496627	 4:-7.76006172240029E-03	 5:1.60017696609754	 6:.664852841331333	 7:4.06401663243521E-02	 8:.33874751128767	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.240089206131876
16	 1:-.554411343392506	 2:-.29339837487599	 3:-1.12036532467582E-02	 4:1.01688523775094	 5:4.41052114646198E-03	 6:-1.52764733962459	 7:.593962222236474	 8:-1.43941741020646	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
17	 1:5.78114018136053E-04	 2:-.479314176777608	 3:.152380465836486	 4:-.983612727887486	 5:-1.41404854103227	 6:.664852841331333	 7:-.137850819453751	 8:.168497678378657	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
5	 1:2.5905289152678	 2:2.49533865364827	 3:.762103091510399	 4:-1.2438401055315	 5:.713640052235832	 6:1.39568623498331	 7:-.994607551188651	 8:.717080473307699	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-1.15050349539113	 15:-.105304810091389	 16:-1.03815387897482
12	 1:-.554411343392506	 2:-.29339837487599	 3:.301093301366709	 4:1.63492525965549	 5:4.41052114646198E-03	 6:1.21297788657031	 7:-1.74426969145668	 8:.698163825206698	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.696126162042131
14	 1:1.11055702883942	 2:.822096436533715	 3:1.31234058297222	 4:.333788371435379	 5:-1.41404854103227	 6:.664852841331333	 7:-1.56577870567858	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:1.81207709546426
12	 1:-.369414857588959	 2:-.479314176777608	 3:-.204530339436047	 4:-1.211311683326	 5:.359025286691147	 6:.664852841331333	 7:1.52211534828261	 8:1.53049634165076	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:1.35604013955401
9	 1:-.554411343392506	 2:-.665229978679225	 3:.167251749389508	 4:-1.47153906097002	 5:-1.05943377548759	 6:.847561189744327	 7:.272678447835887	 8:.357664159388672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:.785993944666196
15	 1:5.78114018136053E-04	 2:7.84332289272449E-02	 3:-.189659055883025	 4:.90303576003168	 5:-1.41404854103227	 6:.664852841331333	 7:-1.31589132558923	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
17	 1:-.184418371785411	 2:-.665229978679225	 3:1.19337031454804	 4:-.365572705982931	 5:1.60017696609754	 6:.664852841331333	 7:1.36147346108232	 8:-1.26916757729745	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:1.81207709546426
17	 1:-.739407829196054	 2:-.479314176777608	 3:1.5651524033736	 4:-1.26010431663426	 5:-1.41404854103227	 6:-1.52764733962459	 7:-.905362058299599	 8:.925163602418715	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.696126162042131
16	 1:-.924404314999601	 2:-.479314176777608	 3:-2.12292591777591	 4:-1.43901063876452	 5:.713640052235832	 6:.847561189744327	 7:1.04018968668173	 8:1.07649678722672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
17	 1:-.739407829196054	 2:-.665229978679225	 3:1.01491491191177	 4:.78918628231242	 5:4.41052114646198E-03	 6:-.43139724914663	 7:-1.74426969145668	 8:-1.74208377982248	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:2.73652435951062	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
15	 1:-.369414857588959	 2:-.665229978679225	 3:.881073359934577	 4:.951828393339934	 5:.713640052235832	 6:.664852841331333	 7:.326225743569318	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:-.716259742250555	 14:.486075253572359	 15:-.105304810091389	 16:1.6980678564867
7	 1:-.554411343392506	 2:-.107482572974372	 3:.717489240851332	 4:-1.11372641670949	 5:.53633266946349	 6:.482144492918339	 7:-1.01245664976646	 8:.641413880903693	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-1.03815387897482
4	 1:-.739407829196054	 2:.264349030828862	 3:1.23798416520711	 4:-.560743239215949	 5:-.350204244398223	 6:.482144492918339	 7:-.423436396698718	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.739407829196054	 2:.45026483273048	 3:-.977837084193205	 4:-1.29263273883976	 5:.890947435008175	 6:-.979522294385613	 7:-1.67287329714544	 8:-1.42050076210546	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:2.49613252932965
16	 1:-.739407829196054	 2:-.107482572974372	 3:-.650668846026715	 4:-1.01614115009298	 5:.713640052235832	 6:-6.59805523206427E-02	 7:1.04018968668173	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
9	 1:5.78114018136053E-04	 2:.45026483273048	 3:-1.03732221840529	 4:1.53733999303898	 5:.890947435008175	 6:-1.52764733962459	 7:-.97675845261084	 8:-.796251374772415	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:.329956988755941
1	 1:5.78114018136053E-04	 2:-.107482572974372	 3:-.278886757201158	 4:-.137873750544411	 5:.713640052235832	 6:.664852841331333	 7:.165583856369024	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:-.716259742250555	 14:-.786819328954803	 15:-.105304810091389	 16:1.92608633444183
19	 1:.185574599821683	 2:-.107482572974372	 3:.301093301366709	 4:1.17952734877845	 5:-1.41404854103227	 6:.664852841331333	 7:.254829349258077	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.240089206131876
17	 1:-.369414857588959	 2:-.479314176777608	 3:-.427599592731381	 4:-1.03240536119574	 5:.713640052235832	 6:-1.52764733962459	 7:1.34362436250451	 8:-1.43941741020646	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:.849759420008691	 15:-.105304810091389	 16:-1.03815387897482
17	 1:-.739407829196054	 2:7.84332289272449E-02	 3:1.04465747901782	 4:-1.01614115009298	 5:.359025286691147	 6:.482144492918339	 7:.629660419392095	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
